RecipeId,Title,Description,ImageUrl,Cooktime,Serving
14,Canh Chua Cá Bớp,"Sau những ngày Tết ngập tràn bánh chưng, thịt mỡ và giò chả, khi tiết trời bắt đầu chuyển nắng gắt, một bát canh chua cá bớp chính là ""cứu cánh"" tuyệt vời để giải ngán. Nước canh thanh mát, có vị chua thanh dịu của me hoặc dứa, hòa quyện...",https://img-global.cpcdn.com/recipes/6bb72b6c5f25a354/300x426f0.5_0.501343_1.0q80/canh-chua-ca-b%E1%BB%9Bp-recipe-main-photo.jpg,20 phút,3-4 người
15,Canh cải xanh nấu tôm,"Đây là một món cơm gia đình hàng ngày. Canh cải xanh có vị đắng nhẹ, sẽ hài hòa hơn trong các bữa cơm có món nhiều dầu mỡ",https://img-global.cpcdn.com/recipes/26dd17d739448a74/300x426f0.510846_0.500023_1.00067q80/canh-c%E1%BA%A3i-xanh-n%E1%BA%A5u-tom-recipe-main-photo.jpg,30 phút,3 người
16,Thịt Bò Xào Su Hào,"Su hào mùa đông ít xơ, giòn ngọt, xào thịt bò rất đưa cơm. su hào",https://img-global.cpcdn.com/recipes/3e96d4d32002b457/300x426cq80/th%E1%BB%8Bt-bo-xao-su-hao-recipe-main-photo.jpg,30 phút,2 phần ăn
17,Cá nục hấp chiên giòn,,https://img-global.cpcdn.com/recipes/c365ac7dff813095/300x426f0.5_0.5_1.0q80/ca-n%E1%BB%A5c-h%E1%BA%A5p-chien-gion-recipe-main-photo.jpg,20 phút,3 người
19,Chả Ức Gà Nấm Hương,"Chả ức gà nấm hương là giải pháp hoàn hảo để thay thế các loại chả nhiều mỡ, tập trung tối đa vào nguồn protein chất lượng cao. Phần ức gà nạc được xay nhuyễn kết hợp với nấm hương thơm lừng, tạo nên những miếng chả ngọt tự nhiên, dai...",https://img-global.cpcdn.com/recipes/66395fabaf8b56d0/300x426f0.5_0.467465_1.0q80/ch%E1%BA%A3-%E1%BB%A9c-ga-n%E1%BA%A5m-h%C6%B0%C6%A1ng-recipe-main-photo.jpg,1 giờ,3 người
20,Cơm sườn rán Bắc Kinh,"Siêu siêu ngon ạ. Sườn giòn bên ngoài, nhưng mềm mọng nước bên trong. Ăn cùng salad mù tạt vàng chua ngọt cân bằng vị giác rất ngon ạ.",https://img-global.cpcdn.com/recipes/6dcdc4bebf6b8186/300x426f0.48666_0.5_1.0q80/c%C6%A1m-s%C6%B0%E1%BB%9Dn-ran-b%E1%BA%AFc-kinh-recipe-main-photo.jpg,30-40p,3 phần ăn
21,Củ cải xào trứng gà,,https://img-global.cpcdn.com/recipes/e62e6b2c38db6249/300x426f0.5_0.5_1.0q80/c%E1%BB%A7-c%E1%BA%A3i-xao-tr%E1%BB%A9ng-ga-recipe-main-photo.jpg,30 phút,4 người
22,Thịt ba chỉ kho hột vịt,,https://img-global.cpcdn.com/recipes/bfd4aedaf9a46d35/300x426f0.5_0.5_1.0q80/th%E1%BB%8Bt-ba-ch%E1%BB%89-kho-h%E1%BB%99t-v%E1%BB%8Bt-recipe-main-photo.jpg,60 phút,2 người
23,Hủ tiếu bò,"Sau khi tham khảo nhiều Công thức mì bò Đài Loan thì mình tự chế ra phiên bản nhà ăn đơn giản nhất với nguyên liệu sẵn có: hủ tiếu khô, xì dầu, giá... thịt bò",https://img-global.cpcdn.com/recipes/973160f13c6af391/300x426f0.557809_0.499879_1.00201q80/h%E1%BB%A7-ti%E1%BA%BFu-bo-recipe-main-photo.jpg,2 tiếng,2 người
24,Bóng cá chay rim mè rang,,https://img-global.cpcdn.com/recipes/63ec66df37a9a63f/300x426f0.51556_0.5_1.0q80/bong-ca-chay-rim-me-rang-recipe-main-photo.jpg,30p,2-3 người
25,Canh rau dền nấu cá cơm,"Cá cơm nhỏ, trắng tinh kết hợp cùng rau dền, lạ mà ngon và tốt cho sức khỏe. Cá cơm trắng là loại cá nước ngọt nên mùi tanh cũng ít hơn loại cá nước mặn, tuy nhiên cũng cần xử lý trước khi chế biến để giảm mùi",https://img-global.cpcdn.com/recipes/58097bf6048d62cb/300x426f0.5_0.5_1.0q80/canh-rau-d%E1%BB%81n-n%E1%BA%A5u-ca-c%C6%A1m-recipe-main-photo.jpg,15 phút,2 người
26,Đậu cô ve xào thịt bò cà chua,"Món đậu cô ve xào thịt bò cà chua – giản dị mà đưa cơm. Đậu xanh giòn, thịt bò mềm ngọt, cà chua chua nhẹ tạo vị cân bằng, rất hợp cho bữa cơm nhà những ngày muốn ăn thanh mà vẫn đủ chất. 🍅🥩🥬",https://img-global.cpcdn.com/recipes/da4b843076d91137/300x426f0.5_0.5_1.0q80/d%E1%BA%ADu-co-ve-xao-th%E1%BB%8Bt-bo-ca-chua-recipe-main-photo.jpg,1 tiếng,2 phần ăn
27,Gà Tre Hấp Mắm Nhĩ,,https://img-global.cpcdn.com/recipes/ae181d903d06f134/300x426f0.5_0.5_1.0q80/ga-tre-h%E1%BA%A5p-m%E1%BA%AFm-nhi-recipe-main-photo.jpg,,4 người
28,Cách làm tôm khô,"Tôm sắt biển làm tôm khô bao ngon ngọt nhé. Con tôm nho nhỏ thôi mà chất lượng. Tôm khô buồn buồn ăn như snack, hoặc để dành trộn gỏi, kho quẹt, nấu canh, làm riêu tôm thịt nè. Mọi người thử làm chưa.",https://img-global.cpcdn.com/recipes/807003cca707ebb0/300x426f0.477462_0.5_1.0q80/cach-lam-tom-kho-recipe-main-photo.jpg,2 tiếng,3 người
29,Canh Măng Củ Tươi Nấu Nấm Rơm và Ngưu Bàng,Chia sẻ với các bạn bí quyết cách nấu canh măng tươi thơm ngon mà khử được tính âm ở măng và nấm. - Tuần 32,https://img-global.cpcdn.com/recipes/94e4776700fe3874/300x426f0.488508_0.5_1.0q80/canh-mang-c%E1%BB%A7-t%C6%B0%C6%A1i-n%E1%BA%A5u-n%E1%BA%A5m-r%C6%A1m-va-ng%C6%B0u-bang-recipe-main-photo.jpg,,2 tô
30,Canh Cua Bí Xanh,"Bí đao xanh nấu canh tôm, thịt, hay cua đồng là món mát lành ngày nóng. Từ nhỏ mình thấy mẹ băm bí rồi nấu thì bí mau mềm ăn cũng ngon hơn, bỏ ruột để bí không chua. Canh bi thường không nêm nước mắm. bí xanh",https://img-global.cpcdn.com/recipes/6093d71e575e6d28/300x426f0.5_0.504848_1.0q80/canh-cua-bi-xanh-recipe-main-photo.jpg,30 phút,3 người
31,Lườn Cá Cờ Kho Tiêu,"cá kho, cá cờ Cá cờ thịt chắc, lườn mềm, nạc kho tiêu hao cơm lắm ạ",https://img-global.cpcdn.com/recipes/317835aeffc5f1e3/300x426cq80/l%C6%B0%E1%BB%9Dn-ca-c%E1%BB%9D-kho-tieu-recipe-main-photo.jpg,2 giờ,2 phần ăn
32,Mực xào cà chua thơm,"Mình không khoái mực lắm, nhưng thi thoảng vẫn nấu cho cả nhà đổi bữa. Tuần 15 mực tươi",https://img-global.cpcdn.com/recipes/c705d37107ad5d69/300x426f0.489372_0.5_1.0q80/m%E1%BB%B1c-xao-ca-chua-th%C6%A1m-recipe-main-photo.jpg,30ph,2 ng
33,Cải Rổ Xào Nấm Mèo Chay,ngay 14 Cải rổ giòn ngọt trụng sơ xào nấm mèo đơn giản mà ngon,https://img-global.cpcdn.com/recipes/2d2debf48fc846df/300x426cq80/c%E1%BA%A3i-r%E1%BB%95-xao-n%E1%BA%A5m-meo-chay-recipe-main-photo.jpg,,2 phần ăn
34,Cơm chiên chay rau củ,"Xin chào các bạn! Hôm nay chúng ta sẽ nói về một chủ đề rất được quan tâm: thực phẩm chay. Có thể bạn ăn chay trong ngày lễ, cũng có thể là bạn muốn có chế độ ăn lành mạnh hơn và còn rất nhiều lý do khác để ăn chay. Hôm nay , hãy cùng...",https://img-global.cpcdn.com/recipes/317b624160e2b6d5/300x426f0.552843_0.5_1.0q80/c%C6%A1m-chien-chay-rau-c%E1%BB%A7-recipe-main-photo.jpg,,4 người
35,Nui Chữ Nấu Thịt Băm (Món ăn sáng cho bé),"nui, món ăn sáng cho bé Bé nhà mình từ nhỏ không thích ăn cháo, nhưng nui mềm như nui sao, nui chữ lại thích ăn. Nước hầm xương hầm trước hoặc thịt băm xào với gia vị, nui cũng có thể luộc trước....",https://img-global.cpcdn.com/recipes/fd8cf96186fb45a5/300x426f0.5_0.568572_1.0q80/nui-ch%E1%BB%AF-n%E1%BA%A5u-th%E1%BB%8Bt-bam-mon-an-sang-cho-be-recipe-main-photo.jpg,20 phút,2 bát tô
36,"Bánh xèo Nhật Bản Okonomiyaki (Tôm, cá ngừ)",Bánh xèo Nhật với nguyên liệu trong tủ lạnh. Tôm bắp cải cá ngừ ngâm dầu mình đều trữ sẵn được. món Nhật,https://img-global.cpcdn.com/recipes/6bb6e0388f912020/300x426f0.509014_0.5_1.0q80/banh-xeo-nh%E1%BA%ADt-b%E1%BA%A3n-okonomiyaki-tom-ca-ng%E1%BB%AB-recipe-main-photo.jpg,45 phút,1 cái
37,Cá nục kho cà chua,"Trời mưa, ăn với cơm nóng",https://img-global.cpcdn.com/recipes/8b7c972abe180476/300x426f0.5_0.501136_1.0q80/ca-n%E1%BB%A5c-kho-ca-chua-recipe-main-photo.jpg,,5 người
38,"Gỏi cuốn cá chim, thịt ba chỉ, tôm",Nhanh gọn lẹ mà ngon Tuần 27 cá chim,https://img-global.cpcdn.com/recipes/4666b88480950058/300x426f0.554229_0.5_1.0q80/g%E1%BB%8Fi-cu%E1%BB%91n-ca-chim-th%E1%BB%8Bt-ba-ch%E1%BB%89-tom-recipe-main-photo.jpg,30ph,2 người
39,Thịt Ba Chỉ Nướng Lá Mắc Mật,"Thật ra món này ăn lúc nào cũng được, đãi khách, lai rai, làm mồi nhậu, nhưng cũng là 1 lựa chọn tết vì nguyên liệu trữ được, thịt và lá mắc mật mình đều trữ đông, nướng lại nhàn bằng nồi chiên không dầu.",https://img-global.cpcdn.com/recipes/23caa19fa71f062f/300x426f0.479988_0.5_1.0q80/th%E1%BB%8Bt-ba-ch%E1%BB%89-n%C6%B0%E1%BB%9Bng-la-m%E1%BA%AFc-m%E1%BA%ADt-recipe-main-photo.jpg,1 giờ,4 người
40,Củ Cải Trắng kho Thịt Băm,Khi kho cùng thịt thì củ cải ngấm nước thịt ăn còn ngon hơn thịt. Bình thường thịt mình sẽ cắt miếng lớn nhưng nay nhà sẵn thịt băm nên mình cũng cắt củ cải nhỏ hơn. củ cải trắng,https://img-global.cpcdn.com/recipes/bc564b95f1aded77/300x426cq80/c%E1%BB%A7-c%E1%BA%A3i-tr%E1%BA%AFng-kho-th%E1%BB%8Bt-bam-recipe-main-photo.jpg,30 phút,2 phần ăn
41,Cá hấp nước tương,,https://img-global.cpcdn.com/recipes/3b5ce6b985e2267b/300x426f0.5_0.5_1.0q80/ca-h%E1%BA%A5p-n%C6%B0%E1%BB%9Bc-t%C6%B0%C6%A1ng-recipe-main-photo.jpg,40 phút,2 người
42,Canh bồ ngót Nhật và tôm mực,"Món canh siêu ngon ngọt, bổ dưỡng ạ",https://img-global.cpcdn.com/recipes/f2fc6e92fe3743cb/300x426f0.5_0.500105_1.0q80/canh-b%E1%BB%93-ngot-nh%E1%BA%ADt-va-tom-m%E1%BB%B1c-recipe-main-photo.jpg,,
43,Thịt heo bọc sả,"Nếu tăng thêm lượng mỡ và giò sống thì miếng thịt sẽ dẻo mềm ngon hơn, và giống nem lụi hơn. Cuộn với rau xà lách ăn keto đủ no rồi.",https://img-global.cpcdn.com/recipes/82ca08f7529e6d98/300x426f0.483283_0.5_1.0q80/th%E1%BB%8Bt-heo-b%E1%BB%8Dc-s%E1%BA%A3-recipe-main-photo.jpg,30 phút,
44,Đậu hũ chiên kiểu đập bẹp,"Sau Tết ăn thịt nhiều quá nên giờ chỉ cần dĩa đậu hũ cho thanh đạm. Đu trend đập bẹp đậu đem chiên ngon thật sự nha, kiểu giòn rụm ăn ko ngán Cái này làm dễ ẹc thật sự ko biết viết ct thế nào lun 😅",https://img-global.cpcdn.com/recipes/ce0228ac6be18ff7/300x426f0.5_0.501861_1.0q80/d%E1%BA%ADu-hu-chien-ki%E1%BB%83u-d%E1%BA%ADp-b%E1%BA%B9p-recipe-main-photo.jpg,30 phút,2 người
45,"Đuôi heo nấu hạt sen, củ sen",,https://img-global.cpcdn.com/recipes/018f0790f98a6e91/300x426f0.5_0.5_1.0q80/duoi-heo-n%E1%BA%A5u-h%E1%BA%A1t-sen-c%E1%BB%A7-sen-recipe-main-photo.jpg,60 phút,4 người
46,SP.1036 - Xôi Gà Hấp,Đôi lúc thèm ăn xôi gà mà không có lá sen nên mình làm vậy cho lẹ mà không quá cầu kỳ và phức tạp.,https://img-global.cpcdn.com/recipes/74bb72e7675bcb4a/300x426cq80/sp1036-xoi-ga-h%E1%BA%A5p-recipe-main-photo.jpg,45p,2 phần
47,Thịt heo hầm,"Thịt hầm kiểu thịt hộp ăn rất ngon, hao cơm lắm luôn.",https://img-global.cpcdn.com/recipes/728abcb344d7d5a2/300x426f0.5_0.501018_1.0q80/th%E1%BB%8Bt-heo-h%E1%BA%A7m-recipe-main-photo.jpg,3 tiếng,4 phần ăn
48,Cá kho riềng (Kiểu miền Bắc),"Vị mặn mòi, thơm nồng mùi riềng sả, miếng cá chắc thịt.",https://img-global.cpcdn.com/recipes/03d034fff5eccfa0/300x426cq80/ca-kho-ri%E1%BB%81ng-ki%E1%BB%83u-mi%E1%BB%81n-b%E1%BA%AFc-recipe-main-photo.jpg,40 phút,2 phần ăn
49,Chả cá biển thì là,Nay tranh thủ làm ít chả cá ạ,https://img-global.cpcdn.com/recipes/a85ead67dd760f7b/300x426f0.50201_0.5_1.0q80/ch%E1%BA%A3-ca-bi%E1%BB%83n-thi-la-recipe-main-photo.jpg,30p,
50,Cá cơm,"Trời lạnh lạnh ăn món này tốn cơm làm nè, ngồi xem bóng nhâm nhi cùng lon beer cũng ok. Hồi sinh viên thỉnh thoảng thèm quá, chiều chiều mấy ce lại rủ nhau nấu",https://img-global.cpcdn.com/recipes/3a04b4fbf9e9f35e/300x426f0.5_0.43125_1.0q80/ca-c%C6%A1m-recipe-main-photo.jpg,30’,
51,Giò heo kho thơm,,https://img-global.cpcdn.com/recipes/22d7e090c280d061/300x426f0.5_0.5_1.0q80/gio-heo-kho-th%C6%A1m-recipe-main-photo.jpg,60 phút,4 người
52,Canh cà chua nấu chân gà,,https://img-global.cpcdn.com/recipes/1668d9d2c2b1657f/300x426cq80/canh-ca-chua-n%E1%BA%A5u-chan-ga-recipe-main-photo.jpg,30 phút,2 người
53,Măng nhồi thịt,"Món này mình học được trên Bắc Kạn. Khá là nổi tiếng, công thức này là do mình tự biên đạo ra chứ không phải công thức chuẩn , nhưng mà ăn cũng rất là ngon dành cho tín đồ thích ăn măng tươi như minh, bật mí 1 chút là măng này là măng rừng bẻ...",https://img-global.cpcdn.com/recipes/7ab2c3cbc3d4dec5/300x426f0.5_0.500407_1.0q80/mang-nh%E1%BB%93i-th%E1%BB%8Bt-recipe-main-photo.jpg,45p,4 phần ăn
55,Cá cơm chiên giòn rụm hấp dẫn,,https://img-global.cpcdn.com/recipes/d5f4869dccacd14b/300x426f0.5_0.5_1.0q80/ca-c%C6%A1m-chien-gion-r%E1%BB%A5m-h%E1%BA%A5p-d%E1%BA%ABn-recipe-main-photo.jpg,20 phút,2 người
56,Thịt đùi heo xào khóm,,https://img-global.cpcdn.com/recipes/f16e101242cacb66/300x426f0.5_0.5_1.0q80/th%E1%BB%8Bt-dui-heo-xao-khom-recipe-main-photo.jpg,30 phút,2 người
57,Waffle Chà Bông Gà Cay Rong Biển,"Dọn tủ lạnh, món ăn sáng, ăn xế nhanh tiện.",https://img-global.cpcdn.com/recipes/167733576225f85c/300x426f0.5_0.466311_1.0q80/waffle-cha-bong-ga-cay-rong-bi%E1%BB%83n-recipe-main-photo.jpg,1 giờ,6 bánh
58,Bún Cá Rô Phi,"Trong những ngày nắng nóng hầm hập, khi cơm trắng trở nên khó nuốt, một bát bún cá rô phi thanh mát chính là ""cứu cánh"" tuyệt vời. Điểm nhấn của món ăn là những miếng cá phi lê được tẩm ướp vàng nghệ bắt mắt, chiên nóng hổi, giòn rụm bên ngoài...",https://img-global.cpcdn.com/recipes/341c3d051bc528f0/300x426f0.516558_0.5_1.0q80/bun-ca-ro-phi-recipe-main-photo.jpg,2 giờ,4 tô
59,Cá cơm rim thịt và thơm,,https://img-global.cpcdn.com/recipes/5585cc03d15eadce/300x426f0.5_0.5_1.0q80/ca-c%C6%A1m-rim-th%E1%BB%8Bt-va-th%C6%A1m-recipe-main-photo.jpg,30 phút,3 người
60,Gà chiên xù không cần bột chiên xù,"Trời mưa gió bão bùng, món này làm cho tụi nhỏ. Tụi nhỏ ăn hết một dĩa đầy, mà người lớn cũng quất sạch nguyên dĩa. tuần 23 bột mì",https://img-global.cpcdn.com/recipes/a5c9b783c20cccfd/300x426f0.494737_0.5_1.0q80/ga-chien-xu-khong-c%E1%BA%A7n-b%E1%BB%99t-chien-xu-recipe-main-photo.jpg,1tiếng,3 người
61,Miến om nấm (món chay),Tuần 23: món chay đãi tiệc Từ hồi mình ăn được món miến om là mình bỏ hẳn món miến xào. Cũng vẫn đậm đà nhưng riêng khoản dầu xào là bớt được bao nhiêu,https://img-global.cpcdn.com/recipes/efc7db7619f17afa/300x426f0.494391_0.5_1.0q80/mi%E1%BA%BFn-om-n%E1%BA%A5m-mon-chay-recipe-main-photo.jpg,,
62,Há cảo con cá,,https://img-global.cpcdn.com/recipes/2db9499714321a62/300x426f0.5_0.5_1.0q80/ha-c%E1%BA%A3o-con-ca-recipe-main-photo.jpg,1h,10 con
63,Bánh BÈO tôm chấy,"Đây là bánh bèo kiểu Huế, bánh phải mỏng trắng ăn kèm với tôm chấy màu hồng nhạt & dầu hành thơm nức ... Là món ăn đường phố, ăn xế yêu thích của mọi người ""vừa túi tiền, sướng cái bụng""",https://img-global.cpcdn.com/recipes/23ea553e2197cff3/300x426f0.5_0.5_1.0q80/banh-beo-tom-ch%E1%BA%A5y-recipe-main-photo.jpg,60 phút,3 người
64,Cơm Natto Ăn Trưa,Lưu ý trong món này Bò ăn trứng sống cá sống phù hợp ở Nhật Bản còn các nước khác Bò không rành lắm.,https://img-global.cpcdn.com/recipes/648312814c68e9de/300x426f0.520742_0.451278_1.17007q80/c%C6%A1m-natto-an-tr%C6%B0a-recipe-main-photo.jpg,15p,1 phần ăn
65,Cá bớp kho cà chua,,https://img-global.cpcdn.com/recipes/9697c4e4f141f8c1/300x426f0.5_0.5_1.0q80/ca-b%E1%BB%9Bp-kho-ca-chua-recipe-main-photo.jpg,45 phút,3 người
66,Cá khoai nấu rau ngót,1 biến tấu của món cá khoai nấu rau cải thìa là. 1 món ăn của xứ Thanh Hóa. Nấu thế này sẽ hơi lợn cợn xương tuy nhiên xương cá khoai rất mềm có thể ăn được cả xương nên không lo bị hóc. Cá khoai hay cá cháo là 1 loại cá đặc trưng tại...,https://img-global.cpcdn.com/recipes/ecda73e8d1443985/300x426f0.5_0.488833_1.0q80/ca-khoai-n%E1%BA%A5u-rau-ngot-recipe-main-photo.jpg,15 phút,2 người
67,Cá Hồi Sốt Cam,"Món ngon cuối tuần cho gia đình. Cá xém các mặt, bên trong thịt vẫn mềm ẩm, sốt cam vàng chua ngọt dịu ăn rất ngon.",https://img-global.cpcdn.com/recipes/45a1436e54c8b0d6/300x426f0.518526_0.5_1.0q80/ca-h%E1%BB%93i-s%E1%BB%91t-cam-recipe-main-photo.jpg,30 phút,1 người
68,Đậu rồng xào thịt bò,cả đậu rồng và thịt bò đều là hai thực phẩm bổ dưỡng nên khi kết hợp hai thứ thì tăng thêm phần hấp dẫn và bổ dưỡng nhiều hơn,https://img-global.cpcdn.com/recipes/e6ae9bf4d1493e89/300x426f0.5_0.5_1.0q80/d%E1%BA%ADu-r%E1%BB%93ng-xao-th%E1%BB%8Bt-bo-recipe-main-photo.jpg,30 phút,2 người
69,SP.1012 - Xíu Mại Nấm Hương Nước Cà,- Tuần 32: Dimsum,https://img-global.cpcdn.com/recipes/cfc7766b9694ec94/680x781f0.518665_0.5_1.0q80/sp1012-xiu-m%E1%BA%A1i-n%E1%BA%A5m-h%C6%B0%C6%A1ng-n%C6%B0%E1%BB%9Bc-ca-recipe-main-photo.jpg,45p,5 người
70,Heo Rừng Rang Lá Lốt,Món xào đơn giản mà thơm ngon,https://img-global.cpcdn.com/recipes/bf9e8b1dcf0b7710/300x426f0.5_0.50125_1.0q80/heo-r%E1%BB%ABng-rang-la-l%E1%BB%91t-recipe-main-photo.jpg,15 phút,2 phần ăn
71,Cơm rang trám,,https://img-global.cpcdn.com/recipes/a269ca1b57703c32/300x426f0.439135_0.5_1.0q80/c%C6%A1m-rang-tram-recipe-main-photo.jpg,30 phút,4 người
72,Bò Nấu Đậu Thập Cẩm,,https://img-global.cpcdn.com/recipes/370fd05aaaac0eb8/300x426f0.5_0.5_1.0q80/bo-n%E1%BA%A5u-d%E1%BA%ADu-th%E1%BA%ADp-c%E1%BA%A9m-recipe-main-photo.jpg,1 h,4 phần ăn
73,Cá cơm tươi chiên nước mắm,,https://img-global.cpcdn.com/recipes/111c7770940b716b/300x426f0.5_0.5_1.0q80/ca-c%C6%A1m-t%C6%B0%C6%A1i-chien-n%C6%B0%E1%BB%9Bc-m%E1%BA%AFm-recipe-main-photo.jpg,90 phút,3 người
74,Tempeh ngũ đậu sốt nấm,,https://img-global.cpcdn.com/recipes/484128df105f6efe/300x426f0.499537_0.5_1.0q80/tempeh-ngu-d%E1%BA%ADu-s%E1%BB%91t-n%E1%BA%A5m-recipe-main-photo.jpg,30 phút,1 phần ăn
75,"Cháo Cá Nấu Bầu, Nấm Rơm, Trứng Vịt Lộn","Đây là một món ăn dân dã nhưng đầy tinh tế của vùng đồng bằng sông nước miền Tây. Chỉ từ những nguyên liệu quen thuộc: con cá lóc đồng ngọt thịt, trái bầu mát lành, nấm rơm thơm nhẹ...",https://img-global.cpcdn.com/recipes/fa630496610c768d/300x426f0.500198_0.5_1.0q80/chao-ca-n%E1%BA%A5u-b%E1%BA%A7u-n%E1%BA%A5m-r%C6%A1m-tr%E1%BB%A9ng-v%E1%BB%8Bt-l%E1%BB%99n-recipe-main-photo.jpg,2 tiếng 30 phút,4-5 người
76,KHOAI TÂY xào thịt bò,Sự kết hợp giữa thịt bò giàu protein & khoai tây chứa nhiều chất xơ tốt cho sức khỏe ... Đây cũng là một gợi ý để đổi vị cho bữa ăn gia đình đỡ ngán mà ngon lạ hơn,https://img-global.cpcdn.com/recipes/859a9ee5c0f341d6/300x426f0.5_0.5_1.0q80/khoai-tay-xao-th%E1%BB%8Bt-bo-recipe-main-photo.jpg,40 phút,2 người
77,Su Su Xào Thịt Băm,Susu xào thịt là món ăn dễ làm mà ăn rất ngon.,https://img-global.cpcdn.com/recipes/d51635ae644a8dc1/300x426f0.5_0.5_1.0q80/su-su-xao-th%E1%BB%8Bt-bam-recipe-main-photo.jpg,,2 phần
78,Ruốc nấm sò,,https://img-global.cpcdn.com/recipes/9f4b015179c3dfc1/300x426f0.50012_0.50016_1.49968q80/ru%E1%BB%91c-n%E1%BA%A5m-so-recipe-main-photo.jpg,1 tiếng,Để tủ lạnh ăn dần
79,Canh mướp nấu nấm đùi gà và hạt sen,,https://img-global.cpcdn.com/recipes/04a239887f5a1ea0/300x426cq80/canh-m%C6%B0%E1%BB%9Bp-n%E1%BA%A5u-n%E1%BA%A5m-dui-ga-va-h%E1%BA%A1t-sen-recipe-main-photo.jpg,30 phút,4 người
80,Thịt bắp giò (đùi heo) nấu giả cầy,,https://img-global.cpcdn.com/recipes/5b4669ebc7ead87d/300x426f0.5_0.5_1.0q80/th%E1%BB%8Bt-b%E1%BA%AFp-gio-dui-heo-n%E1%BA%A5u-gi%E1%BA%A3-c%E1%BA%A7y-recipe-main-photo.jpg,60 phút,4 người
